wallet_id,total_transaction_count,total_transaction_sum,big_transaction_count,big_transaction_sum,small_transaction_count,small_transaction_sum,from_transaction_count,from_transaction_sum,to_transaction_count,to_transaction_sum,to_unique_wallet,from_unique_wallet,from_unique_big,to_unique_big,from_unique_small,to_unique_small,classification
207669,2,20.671972542558862,0,0,0,0,1,20.030118656386467,1,19.92475814072864,1,1,0,0,0,0,Positive
207670,2,17.04431960462839,0,0,2,17.04431960462839,1,16.351172424068448,1,16.351172424068448,1,1,0,0,1,1,Positive
207672,2,19.599335740294013,0,0,1,15.424948470398375,1,19.583831553758046,1,15.424948470398375,1,1,0,0,0,1,Positive
207674,0,0,0,0,0,0,1,25.0941526796335,0,0,0,1,0,0,0,0,Positive
207675,3,19.10251416461204,0,0,2,18.101163947980567,2,18.932006242760007,1,17.24949776244942,1,0,0,0,0,1,Positive
207676,0,0,0,0,0,0,1,19.3761921889798,0,0,0,1,0,0,0,0,Positive
207680,0,0,0,0,0,0,1,21.43342651221733,0,0,0,1,0,0,0,0,Positive
207684,0,0,1,43.74911676688687,0,0,4,43.749116771239365,0,0,0,0,0,0,0,0,Negative
207688,0,0,0,0,0,0,1,18.689661532406728,0,0,0,1,0,0,0,0,Positive
207689,5,26.097069559812592,0,0,0,0,4,25.411612898893587,1,25.396172256847088,1,0,0,0,0,0,Positive
207691,5,31.620005163326155,0,0,3,10.714417768752456,1,29.933606208922594,4,31.415210750869537,1,1,0,0,0,0,Negative
207693,0,0,0,0,0,0,1,24.124463218608568,0,0,0,1,0,0,0,0,Positive
207696,4,26.31611675089533,0,0,0,0,3,26.197635147274806,1,24.124463218608568,1,0,0,0,0,0,Negative
207698,2,22.599982963210326,0,0,0,0,1,21.639556568820566,1,22.117534768736657,1,1,0,0,0,0,Positive
207699,0,0,0,0,0,0,2,25.867443289232575,0,0,0,0,0,0,0,0,Positive
207701,2,20.749439015397055,0,0,0,0,1,20.056291834837108,1,20.056291834837108,1,1,0,0,0,0,Positive
207702,0,0,0,0,0,0,1,21.92728864002239,0,0,0,1,0,0,0,0,Positive
207703,3,24.240062517067752,0,0,1,9.49461665129313,1,24.21613040713439,2,20.495586116506068,0,1,0,0,0,0,Positive
207705,11,21.73885290787073,0,0,5,19.76181258952181,10,21.72376820041149,1,17.53724623592241,1,0,0,0,0,1,Positive
207707,2,23.698607630452646,0,0,0,0,1,23.005460449892702,1,23.005460449892702,1,1,0,0,0,0,Positive
207708,3,19.026756794828433,0,0,3,19.026756794828433,2,18.407774292878052,1,18.253500744998693,1,0,0,0,0,1,Positive
207713,17,27.784231155523322,0,0,5,19.568483132677905,1,20.802149360410073,16,27.783302355805322,0,1,0,0,0,0,Positive
207718,0,0,0,0,1,18.420680743952367,1,18.420680743952367,0,0,0,1,0,0,1,0,Positive
207725,0,0,0,0,0,0,1,21.10850085640981,0,0,0,1,0,0,0,0,Positive
207726,4,12.611541086966115,0,0,4,12.611541086966115,1,11.918390573078392,3,11.918397239722838,0,1,0,0,1,0,Positive
207727,4,18.417123855718717,0,0,4,18.417123855718717,1,17.38757536987749,3,17.975251694965607,0,1,0,0,1,0,Positive
207729,5,19.555154008813947,0,0,4,19.14671858257384,4,19.14671858257384,1,18.462456018356935,1,0,0,0,0,0,Positive
207736,3,20.70503559528376,0,0,1,18.325050512937114,1,19.914584169847682,2,20.100558480532328,0,1,0,0,0,0,Positive
207739,18,26.13039960628087,0,0,2,15.649170799622398,6,25.209705399035656,12,25.62249889697153,0,0,0,0,0,0,Positive
207746,18,47.82176838385646,5,47.82176838039635,0,0,3,47.435561917564065,15,46.68348908820078,0,0,0,0,0,0,Negative
207750,3,21.86961026201595,0,0,0,0,1,21.44353157097485,2,20.810992570424233,0,1,0,0,0,0,Positive
207753,7,22.46037081261394,0,0,0,0,6,22.42154597096754,1,19.192326209409494,1,0,0,0,0,0,Positive
207771,267,26.786482485673968,0,0,29,20.83559460107024,200,26.63830497611099,67,24.803964085850915,0,0,0,0,0,0,Positive
207773,0,0,0,0,0,0,1,23.025850929940457,0,0,0,1,0,0,0,0,Positive
207774,3,23.139524520582206,0,0,0,0,2,22.97019704334334,1,21.28013445085236,1,0,0,0,0,0,Positive
207778,4,26.29527249065614,0,0,1,0,2,22.33666460602101,2,26.27599825949109,0,0,0,0,0,0,Positive
207780,0,0,0,0,0,0,1,19.11382792451231,0,0,0,1,0,0,0,0,Positive
207783,0,0,0,0,1,18.424672765221903,19,22.359760394710516,0,0,0,0,0,0,0,0,Positive
207786,0,0,0,0,0,0,3,23.102811971076584,0,0,0,0,0,0,0,0,Negative
207789,29,46.872818394953754,7,46.871435525936526,1,18.06329411825681,26,46.8728183941126,3,25.976574675932383,0,0,0,0,0,0,Negative
207796,32,23.23763865005727,0,0,13,20.623319807577182,1,16.379690388646782,31,23.23658702905859,0,1,0,0,1,0,Positive
207798,16,22.330745677207805,0,0,2,17.945400256547565,9,21.74320533559184,7,21.519507471534816,0,0,0,0,0,0,Negative
207803,2,27.854159244588054,0,0,0,0,1,27.72632825781917,1,25.733878220113546,1,1,0,0,0,0,Positive
207804,2,27.846120551925782,0,0,0,0,1,27.459970399908855,1,26.70772178107383,1,1,0,0,0,0,Positive
207805,2,21.806950016447452,0,0,0,0,1,21.11380283588751,1,21.11380283588751,1,1,0,0,0,0,Positive
207813,4,26.52315031011756,0,0,0,0,3,26.307033962117274,1,24.885099105882173,1,0,0,0,0,0,Negative
207814,0,0,0,0,0,0,1,20.72326583694641,0,0,0,1,0,0,0,0,Positive
207822,0,0,0,0,0,0,5,24.3808263015432,0,0,0,0,0,0,0,0,Negative
207823,2,24.41423330970639,0,0,0,0,1,23.721622226644055,1,23.720549744094146,1,1,0,0,0,0,Positive
207825,7,30.36343603725567,0,0,0,0,6,30.282145240904196,1,27.813343490472167,1,0,0,0,0,0,Positive
207826,2,25.82313226477061,0,0,0,0,1,25.129985084210663,1,25.129985084210663,1,1,0,0,0,0,Positive
207828,0,0,0,0,0,0,2,23.416887499311706,0,0,0,0,0,0,0,0,Positive
207829,0,0,0,0,0,0,1,20.21244021318042,0,0,0,1,0,0,0,0,Positive
207830,6,27.535880251337993,0,0,0,0,1,25.74546629625301,5,27.353289374329936,0,1,0,0,0,0,Positive
207831,0,0,0,0,0,0,4,21.659751276106086,0,0,0,1,0,0,0,0,Positive
207834,0,0,0,0,1,18.420680743952367,1,18.420680743952367,0,0,0,1,0,0,1,0,Positive
207838,0,0,0,0,0,0,1,20.5001222856322,0,0,0,1,0,0,0,0,Positive
207839,0,0,0,0,0,0,2,21.97602880544178,0,0,0,0,0,0,0,0,Positive
207841,2,23.43131603804862,0,0,0,0,1,23.025850929940457,1,22.33270374938051,1,1,0,0,0,0,Positive
207843,0,0,0,0,0,0,5,22.95097651029473,0,0,0,0,0,0,0,0,Negative
207844,2,20.310505565221696,0,0,0,0,1,20.030578488647404,1,18.900578712384757,1,1,0,0,0,0,Positive
207845,6,23.768817562913757,0,0,0,0,2,21.504963457114613,4,23.659059524566903,0,0,0,0,0,0,Positive
207846,0,0,0,0,0,0,1,19.382938611378655,0,0,0,1,0,0,0,0,Positive
207847,0,0,0,0,0,0,1,23.38383366591627,0,0,0,1,0,0,0,0,Positive
207848,0,0,0,0,0,0,1,22.654787248549624,0,0,0,1,0,0,0,0,Positive
207850,0,0,0,0,0,0,1,20.253398056072868,0,0,0,1,0,0,0,0,Positive
207851,0,0,0,0,1,17.77579025195571,1,17.77579025195571,0,0,0,1,0,0,1,0,Positive
207852,0,0,0,0,0,0,1,26.47580084023209,0,0,0,1,0,0,0,0,Positive
207853,2,25.56616505203725,0,0,0,0,1,25.065133181408335,1,24.63500146216482,1,1,0,0,0,0,Positive
207854,2,27.41123845298401,0,0,0,0,1,27.281970753889322,1,25.30143092419338,1,1,0,0,0,0,Positive
207855,4,30.50515056772329,0,0,1,16.11809565095832,3,30.195970473390084,1,29.180709023956876,1,0,0,0,0,0,Positive
