wallet_id,total_transaction_count,total_transaction_sum,big_transaction_count,big_transaction_sum,small_transaction_count,small_transaction_sum,from_transaction_count,from_transaction_sum,to_transaction_count,to_transaction_sum,to_unique_wallet,from_unique_wallet,from_unique_big,to_unique_big,from_unique_small,to_unique_small,classification
277545,2,2469000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Positive
277584,2,516846998,2,516846998,2,516846998,0,0,0,0,0,0,0,0,0,0,Positive
277599,1,66460043,0,0,0,0,0,0,0,0,0,1,0,0,1,0,Positive
277650,1,895470000,1,895470000,1,895470000,0,0,0,0,0,1,0,0,0,0,Positive
277656,4,2102802928,4,2102802928,4,2102802928,0,0,0,0,0,0,0,0,0,0,Positive
277680,2,25100,2,25100,2,25100,0,0,0,0,0,0,0,0,0,0,Positive
277689,6,90025758262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Positive
277767,1,113091,0,0,1,113092,0,0,0,0,1,1,0,0,1,1,Positive
277866,1,11111,1,11111,2,22222,0,0,0,0,1,1,0,0,1,1,Positive
277893,1,11158310000,0,0,0,0,1,11158310000,0,0,0,1,0,0,0,0,Positive
277977,1,518242120,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Positive
278145,8,209240000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Positive
278151,2,962017927,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Positive
278160,3,699000000,3,699000000,3,699000000,0,0,0,0,0,0,0,0,0,0,Negative
278199,1,9231300000,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Positive
278223,1,13000,0,0,0,0,0,0,0,0,0,1,0,0,1,0,Positive
278271,6,4427530723,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Positive
278331,5,1455000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Negative
278334,4,21204616392,4,21204616392,4,21204616392,0,0,0,0,1,0,0,0,0,0,Positive
278388,1,12251,1,12251,2,24502,0,0,0,0,1,1,0,0,1,1,Positive
278439,1,3539550000,0,0,1,2800000,0,0,0,0,1,1,0,0,0,1,Positive
278637,2,28352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Positive
278709,2,1003125257,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Positive
278769,6,2688355072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Positive
278817,3,16000000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Negative
278907,8,28424111672,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Positive
278982,1,634399616,1,634399616,1,634399616,0,0,0,0,0,1,0,0,0,0,Positive
279126,1,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,Positive
279144,1,18822946,1,18822946,1,18822946,0,0,0,0,0,1,0,0,1,0,Positive
279330,4,119109740000,4,119109740000,4,119109740000,0,0,0,0,1,0,0,0,0,0,Positive
279516,1,50000000,1,50000000,1,50000000,0,0,0,0,0,1,0,0,1,0,Positive
279567,1,20000000,0,0,0,0,0,0,0,0,0,1,0,0,1,0,Positive
279594,2,1457020796,2,1457020796,2,1457020796,0,0,0,0,0,0,0,0,0,0,Positive
